question,category,law,answer,severity,action
Can a school deny admission based on caste?,Discrimination,Article 15 - Constitution,"No. Under Article 15 - Constitution, No, discrimination based on caste is illegal. You can use the institution grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Is education a fundamental right in India?,Education,Article 21A,"Yes. Under Article 21A, Yes, free education is a fundamental right for ages 14. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a college charge capitation fees?,Fees,RTE Act 2009,"No. Under RTE Act 2009, No, capitation fees are illegal. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Is ragging a punishable offense?,Ragging,UGC Anti-Ragging,"Yes. Under UGC Anti-Ragging, Yes, it can lead to suspension or jail. Report immediately to the anti-ragging committee/helpline and the college authorities; serious cases can be reported to the police.",High,FIR/Complaint
Can a student file complaint against unfair marking?,Exams,UGC Act 1956,"Yes. Under UGC Act 1956, Yes, through grievance cell or university. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
What if a teacher mentally harasses a student?,Harassment,IPC,"Under IPC, Complaint can be filed under harassment laws. File a complaint with the internal complaints committee (icc) or authorities; if it is criminal, lodge an fir.",High,FIR/Complaint
Can girls complain about harassment in college?,Women Safety,Sexual Harassment Act 2013,"Yes. Under Sexual Harassment Act 2013, Yes, via Internal Complaints Committee. Approach the icc promptly; you may also file a police complaint for criminal offences.",High,FIR/Complaint
Is cyberbullying punishable?,Cybercrime,IT Act 2000,"Yes. Under IT Act 2000, Yes, legal action can be taken. Preserve evidence (screenshots/urls) and report on the cybercrime portal or to the police.",High,FIR/Complaint
Can a school expel a student without reason?,Discipline,Education Rules,"No. Under Education Rules, No, valid reason is required. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Are private schools bound by RTE?,Education,RTE Act,"Yes. Under RTE Act, Yes, to some extent. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can students protest in college?,Freedom,Article 19,"Yes. Under Article 19, Yes, peacefully. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can attendance shortage stop exam entry?,Exams,University Rules,"Yes. Under University Rules, Yes, if rules clearly mention it. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Is physical punishment allowed in schools?,Safety,RTE Act,"No. Under RTE Act, No, it is banned. Report to authorities immediately; escalate to police if there is risk or harm.",High,FIR/Complaint
Can a college withhold results for fees?,Fees,UGC Guidelines,"No. Under UGC Guidelines, Not without proper notice. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Can students access answer sheets?,Exams,RTI Act,"Yes. Under RTI Act, Yes, under RTI. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Is discrimination based on gender allowed?,Equality,Article 14,"No. Under Article 14, No, it is unconstitutional. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can a student be forced into extra classes?,Rights,Education Policy,"No. Under Education Policy, No, consent required. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
What if a student faces bullying?,Safety,IPC,"Under IPC, Report to school or police. Report to authorities immediately; escalate to police if there is risk or harm.",High,FIR/Complaint
Can a college deny degree after completion?,Certification,UGC Act,"No. Under UGC Act, No, if requirements are fulfilled. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Is student data privacy protected?,Privacy,IT Act,"Yes. Under IT Act, Yes, misuse is punishable. Consent and purpose limitation must be followed; complain to authorities for misuse.",Medium,Complaint
Can teachers insult students publicly?,Harassment,IPC,"No. Under IPC, No, it's punishable. File a complaint with the internal complaints committee (icc) or authorities; if it is criminal, lodge an fir.",High,FIR/Complaint
Can a school collect hidden charges?,Fees,RTE Act,"No. Under RTE Act, No, transparency required. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Is hostel ragging punishable?,Ragging,UGC Rules,"Yes. Under UGC Rules, Yes, strict punishment applies. Report immediately to the anti-ragging committee/helpline and the college authorities; serious cases can be reported to the police.",High,FIR/Complaint
Can minors file legal complaints?,Legal,Juvenile Justice Act,"Yes. Under Juvenile Justice Act, Yes, through guardians. You can use the grievance system or approach appropriate legal forums depending on severity.",Low,Complaint
Can a college change syllabus suddenly?,Academics,UGC,"Under UGC, Only with notice. Follow prescribed procedures and timelines; escalate through grievance cells if needed.",Low,Complaint
Are internships mandatory legally?,Career,University Policy,"Under University Policy, Depends on course rules. Use placement/grievance cells; escalate to regulators for unfair practices.",Low,Complaint
Can exams be cancelled unfairly?,Exams,UGC,"Under UGC, Students can challenge. Apply for re-evaluation/retotaling through the official process and keep all proof of submission.",Medium,Grievance/Appeal
Can a student be denied scholarship unfairly?,Finance,Govt Schemes,"No. Under Govt Schemes, No, appeal is allowed. You can use the institution  grievance redressal system and escalate to the appropriate authority if the issue persists.",Low,Complaint
Can schools deny TC (Transfer Certificate)?,Documents,Education Board Rules,"No. Under Education Board Rules, No, must be issued. Request in writing and keep acknowledgment; escalate to the university/board if delayed.",Low,Grievance/Appeal
Is uniform compulsory legally?,Discipline,School Policy,"Yes. Under School Policy, Yes, if rule exists. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can students record lectures?,Privacy,IT Act,"Under IT Act, Only with permission. Consent and purpose limitation must be followed; complain to authorities for misuse.",Medium,Complaint
Can colleges force donations?,Fees,RTE Act,"No. Under RTE Act, No, illegal. Ask for a written fee breakup and receipt; you can file a complaint with the institution and, if needed, approach the regulator or consumer forum.",Medium,Grievance/Appeal
Is online harassment punishable?,Cybercrime,IT Act,"Yes. Under IT Act, Yes, strict action possible. Preserve evidence (screenshots/urls) and report on the cybercrime portal or to the police.",High,FIR/Complaint
Can schools suspend without hearing?,Discipline,Natural Justice,"No. Under Natural Justice, No, hearing required. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
Can parents complain legally?,Legal,Consumer Law,"Yes. Under Consumer Law, Yes, against institutions. You can use the grievance system or approach appropriate legal forums depending on severity.",Low,Complaint
Can a college blacklist a student?,Discipline,UGC,"Under UGC, Only with valid reason. Ensure due process (notice and hearing) is followed; you can appeal decisions.",Medium,Complaint
